Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,99.0,99.0,99.0,,,99.0,97.0,93.0,98.0,97.0,
2017,93.0,99.0,99.0,,,99.0,97.0,95.0,99.0,97.0,
2016,98.0,99.0,99.0,,,99.0,96.0,93.0,99.0,96.0,
2015,84.0,98.0,96.0,,,96.0,96.0,93.0,96.0,96.0,
2014,93.0,98.0,96.0,,,99.0,98.0,94.0,98.0,98.0,
2013,93.0,98.0,96.0,,,99.0,95.0,93.0,98.0,95.0,
2012,95.0,99.0,97.0,,,99.0,96.0,92.0,98.0,96.0,
2011,94.0,99.0,97.0,,,99.0,94.0,92.0,98.0,94.0,
2010,99.0,99.0,97.0,,,,94.0,97.0,,94.0,
2009,94.0,99.0,97.0,,,,94.0,92.0,,94.0,
2008,90.0,99.0,98.0,,,,95.0,78.0,,95.0,
2007,94.0,99.0,98.0,,,,96.0,,,96.0,
2006,,99.0,98.0,,,,97.0,,,97.0,
2005,,99.0,98.0,,,,98.0,,,98.0,
2004,,99.0,99.0,,,,98.0,,,98.0,
2003,,99.0,97.0,,,,98.0,,,98.0,
2002,,98.0,96.0,,,,98.0,,,98.0,
2001,,98.0,95.0,,,,98.0,,,98.0,
2000,,88.0,85.0,,,,96.0,,,96.0,
1999,,88.0,80.0,,,,95.0,,,95.0,
1998,,88.0,75.0,,,,95.0,,,95.0,
1997,,88.0,70.0,,,,94.0,,,94.0,
1996,,99.0,99.0,,,,94.0,,,94.0,
1995,,90.0,74.0,,,,93.0,,,93.0,
1994,,93.0,80.0,,,,81.0,,,81.0,
1993,91.0,95.0,85.0,,,,68.0,,,68.0,
1992,93.0,95.0,87.0,,,,69.0,,,69.0,
1991,94.0,97.0,92.0,,,,71.0,,,71.0,
1990,85.0,96.0,90.0,,,,73.0,,,73.0,
1989,85.0,95.0,87.0,,,,77.0,,,77.0,
1988,85.0,95.0,86.0,,,,76.0,,,,
1987,85.0,95.0,85.0,,,,75.0,,,,
1986,85.0,94.0,84.0,,,,74.0,,,,
1985,85.0,94.0,83.0,,,,73.0,,,,
1984,85.0,94.0,82.0,,,,73.0,,,,
1983,91.0,93.0,80.0,,,,70.0,,,,
1982,96.0,93.0,81.0,,,,66.0,,,,
1981,85.0,91.0,75.0,,,,68.0,,,,
1980,,82.0,60.0,,,,69.0,,,,
