Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,99.0,95.0,98.0,99.0,92.0,90.0,75.0,89.0,90.0,93.0
2017,99.0,97.0,98.0,99.0,95.0,93.0,77.0,89.0,93.0,95.0
2016,99.0,98.0,98.0,99.0,98.0,96.0,95.0,98.0,96.0,98.0
2015,99.0,90.0,90.0,99.0,89.0,95.0,82.0,95.0,95.0,97.0
2014,99.0,95.0,99.0,99.0,99.0,83.0,81.0,93.0,83.0,99.0
2013,99.0,99.0,99.0,99.0,99.0,99.0,98.0,93.0,99.0,99.0
2012,99.0,89.0,89.0,99.0,89.0,91.0,86.0,82.0,91.0,89.0
2011,99.0,84.0,91.0,99.0,85.0,85.0,83.0,61.0,85.0,89.0
2010,99.0,69.0,80.0,99.0,66.0,39.0,39.0,45.0,39.0,76.0
2009,99.0,49.0,69.0,99.0,48.0,75.0,79.0,18.0,75.0,15.0
2008,99.0,92.0,92.0,67.0,92.0,97.0,77.0,7.0,97.0,
2007,99.0,94.0,91.0,99.0,95.0,91.0,83.0,,91.0,
2006,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,98.0,
2005,98.0,98.0,98.0,99.0,98.0,98.0,95.0,,98.0,
2004,99.0,98.0,98.0,99.0,98.0,99.0,98.0,,99.0,
2003,99.0,99.0,99.0,99.0,94.0,99.0,94.0,,99.0,
2002,99.0,99.0,99.0,99.0,90.0,99.0,90.0,,99.0,
2001,98.0,98.0,98.0,99.0,93.0,91.0,83.0,,91.0,
2000,98.0,96.0,96.0,99.0,96.0,83.0,75.0,,83.0,
1999,96.0,96.0,96.0,,96.0,96.0,,,96.0,
1998,96.0,96.0,96.0,,74.0,74.0,,,74.0,
1997,97.0,91.0,90.0,,,83.0,,,83.0,
1996,98.0,98.0,99.0,,,99.0,,,99.0,
1995,99.0,99.0,99.0,,,99.0,,,99.0,
1994,86.0,67.0,73.0,,,41.0,,,,
1993,96.0,89.0,94.0,,,32.0,,,,
1992,97.0,93.0,75.0,,,94.0,,,,
1991,98.0,98.0,89.0,,,98.0,,,,
1990,99.0,99.0,,,,98.0,,,,
1989,92.0,78.0,,,,98.0,,,,
1988,99.0,99.0,,,,99.0,,,,
1987,93.0,81.0,,,,98.0,,,,
1986,98.0,98.0,,,,98.0,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
