Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,62.0,56.0,34.0,34.0,46.0,34.0,46.0,31.0,13.0,,31.0,
2017,83.0,84.0,74.0,74.0,81.0,74.0,81.0,58.0,42.0,,58.0,
2016,76.0,95.0,80.0,80.0,77.0,80.0,94.0,68.0,44.0,,68.0,
2015,83.0,89.0,84.0,84.0,72.0,84.0,,69.0,48.0,,69.0,
2014,89.0,88.0,81.0,81.0,69.0,81.0,,82.0,63.0,,82.0,
2013,89.0,89.0,85.0,85.0,78.0,85.0,,90.0,72.0,,90.0,
2012,90.0,88.0,82.0,82.0,83.0,82.0,,76.0,52.0,,76.0,
2011,95.0,91.0,82.0,75.0,87.0,74.0,,59.0,50.0,,59.0,
2010,87.0,91.0,78.0,72.0,78.0,70.0,,56.0,30.0,,56.0,
2009,92.0,86.0,64.0,58.0,62.0,55.0,,45.0,14.0,,45.0,
2008,98.0,48.0,39.0,26.0,68.0,32.0,,44.0,46.0,,44.0,
2007,91.0,85.0,65.0,58.0,85.0,,,63.0,36.0,,63.0,
2006,84.0,80.0,50.0,46.0,58.0,,,54.0,6.0,,54.0,
2005,86.0,87.0,59.0,51.0,52.0,,,57.0,26.0,,57.0,
2004,93.0,91.0,63.0,62.0,45.0,,,25.0,45.0,,25.0,
2003,73.0,96.0,90.0,90.0,66.0,,,62.0,65.0,,,
2002,98.0,99.0,92.0,92.0,86.0,,,99.0,84.0,,,
2001,98.0,99.0,90.0,93.0,85.0,,,92.0,,,,
2000,97.0,99.0,98.0,93.0,86.0,,,93.0,,,,
1999,99.0,97.0,97.0,97.0,,,,91.0,,,,
1998,99.0,99.0,99.0,98.0,,,,99.0,,,,
1997,99.0,98.0,96.0,99.0,,,,99.0,,,,
1996,98.0,98.0,95.0,98.0,,,,96.0,,,,
1995,96.0,97.0,94.0,96.0,,,,96.0,,,,
1994,97.0,97.0,93.0,94.0,,,,94.0,,,,
1993,94.0,97.0,92.0,1.0,,,,92.0,,,,
1992,91.0,97.0,91.0,18.0,,,,90.0,,,,
1991,95.0,92.0,79.0,,,,,77.0,,,,
1990,97.0,96.0,90.0,,,,,89.0,,,,
1989,80.0,86.0,66.0,,,,,82.0,,,,
1988,97.0,96.0,90.0,,,,,75.0,,,,
1987,98.0,97.0,93.0,,,,,78.0,,,,
1986,97.0,97.0,94.0,,,,,91.0,,,,
1985,97.0,96.0,89.0,,,,,81.0,,,,
1984,97.0,98.0,96.0,,,,,83.0,,,,
1983,99.0,96.0,89.0,,,,,78.0,,,,
1982,96.0,95.0,87.0,,,,,59.0,,,,
1981,84.0,86.0,66.0,,,,,,,,,
1980,72.0,54.0,29.0,,,,,,,,,
