Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,98.0,93.0,93.0,,94.0,93.0,95.0,,93.0,,Eastern Europe & Central Asia
2017,98.0,98.0,92.0,92.0,,92.0,89.0,95.0,,89.0,,Eastern Europe & Central Asia
2016,99.0,98.0,93.0,92.0,,93.0,90.0,96.0,,90.0,,Eastern Europe & Central Asia
2015,98.0,98.0,94.0,94.0,,94.0,93.0,96.0,,93.0,,Eastern Europe & Central Asia
2014,98.0,98.0,95.0,95.0,98.0,95.0,94.0,97.0,,94.0,,Eastern Europe & Central Asia
2013,99.0,98.0,96.0,96.0,98.0,96.0,94.0,97.0,,94.0,,Eastern Europe & Central Asia
2012,99.0,98.0,96.0,96.0,96.0,96.0,95.0,97.0,,95.0,,Eastern Europe & Central Asia
2011,99.0,97.0,96.0,96.0,98.0,96.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2010,99.0,97.0,97.0,97.0,,97.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2009,99.0,97.0,96.0,97.0,,96.0,95.0,98.0,,95.0,,Eastern Europe & Central Asia
2008,99.0,97.0,96.0,97.0,,96.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2007,99.0,96.0,96.0,94.0,,96.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2006,99.0,96.0,96.0,,,96.0,95.0,98.0,,95.0,,Eastern Europe & Central Asia
2005,98.0,96.0,96.0,,,96.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2004,98.0,96.0,96.0,,,95.0,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2003,98.0,98.0,94.0,,,95.0,94.0,98.0,,94.0,,Eastern Europe & Central Asia
2002,99.0,99.0,95.0,,,79.0,95.0,98.0,,95.0,,Eastern Europe & Central Asia
2001,97.0,94.0,94.0,,,,94.0,98.0,,94.0,,Eastern Europe & Central Asia
2000,98.0,95.0,93.0,,,,93.0,,,93.0,,Eastern Europe & Central Asia
1999,96.0,96.0,93.0,,,,92.0,,,92.0,,Eastern Europe & Central Asia
1998,97.0,96.0,93.0,,,,91.0,,,91.0,,Eastern Europe & Central Asia
1997,98.0,97.0,92.0,,,,91.0,,,91.0,,Eastern Europe & Central Asia
1996,99.0,97.0,91.0,,,,92.0,,,92.0,,Eastern Europe & Central Asia
1995,99.0,96.0,90.0,,,,92.0,,,92.0,,Eastern Europe & Central Asia
1994,98.0,95.0,87.0,,,,90.0,,,90.0,,Eastern Europe & Central Asia
1993,98.0,95.0,85.0,,,,90.0,,,90.0,,Eastern Europe & Central Asia
1992,92.0,94.0,83.0,,,,90.0,,,90.0,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,Eastern Europe & Central Asia
