Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,99.0,99.0,98.0,98.0,,98.0,56.0,99.0,84.0,98.0,99.0,98.0,,Eastern & Southern Africa
2017,99.0,99.0,97.0,97.0,,97.0,,99.0,79.0,97.0,99.0,97.0,,Eastern & Southern Africa
2016,99.0,99.0,97.0,97.0,,97.0,,90.0,71.0,96.0,90.0,96.0,,Eastern & Southern Africa
2015,99.0,99.0,98.0,98.0,,98.0,,99.0,57.0,95.0,99.0,98.0,,Eastern & Southern Africa
2014,99.0,99.0,97.0,97.0,,97.0,,99.0,29.0,93.0,99.0,97.0,,Eastern & Southern Africa
2013,99.0,99.0,91.0,91.0,,91.0,,99.0,,80.0,,85.0,,Eastern & Southern Africa
2012,99.0,99.0,92.0,92.0,,92.0,,97.0,,,,,,Eastern & Southern Africa
2011,99.0,96.0,90.0,90.0,,90.0,,93.0,,,,,,Eastern & Southern Africa
2010,99.0,98.0,91.0,91.0,,91.0,,92.0,,,,,,Eastern & Southern Africa
2009,93.0,90.0,85.0,85.0,,85.0,,91.0,,,,,,Eastern & Southern Africa
2008,89.0,88.0,86.0,86.0,,,,88.0,,,,,,Eastern & Southern Africa
2007,89.0,89.0,83.0,83.0,,,,90.0,,,,,,Eastern & Southern Africa
2006,90.0,94.0,90.0,90.0,,,,93.0,,,,,,Eastern & Southern Africa
2005,91.0,95.0,90.0,90.0,,,,91.0,,,,,,Eastern & Southern Africa
2004,91.0,99.0,95.0,95.0,,,,94.0,,,,,,Eastern & Southern Africa
2003,91.0,99.0,95.0,95.0,,,,97.0,,,,,,Eastern & Southern Africa
2002,88.0,96.0,89.0,89.0,,,,89.0,,,,,,Eastern & Southern Africa
2001,91.0,95.0,87.0,,,,,86.0,,,,,,Eastern & Southern Africa
2000,86.0,92.0,79.0,,,,,78.0,,,,,,Eastern & Southern Africa
1999,87.0,90.0,76.0,,,,,72.0,,,,,,Eastern & Southern Africa
1998,83.0,96.0,79.0,,,,,72.0,,,,,,Eastern & Southern Africa
1997,85.0,92.0,79.0,,,,,73.0,,,,,,Eastern & Southern Africa
1996,80.0,94.0,82.0,,,,,78.0,,,,,,Eastern & Southern Africa
1995,96.0,93.0,81.0,,,,,78.0,,,,,,Eastern & Southern Africa
1994,92.0,94.0,84.0,,,,,79.0,,,,,,Eastern & Southern Africa
1993,94.0,94.0,83.0,,,,,77.0,,,,,,Eastern & Southern Africa
1992,99.0,94.0,83.0,,,,,81.0,,,,,,Eastern & Southern Africa
1991,95.0,93.0,81.0,,,,,79.0,,,,,,Eastern & Southern Africa
1990,85.0,92.0,78.0,,,,,80.0,,,,,,Eastern & Southern Africa
1989,92.0,91.0,77.0,,,,,79.0,,,,,,Eastern & Southern Africa
1988,93.0,95.0,85.0,,,,,83.0,,,,,,Eastern & Southern Africa
1987,94.0,92.0,79.0,,,,,78.0,,,,,,Eastern & Southern Africa
1986,82.0,90.0,74.0,,,,,97.0,,,,,,Eastern & Southern Africa
1985,90.0,86.0,67.0,,,,,66.0,,,,,,Eastern & Southern Africa
1984,73.0,80.0,58.0,,,,,55.0,,,,,,Eastern & Southern Africa
1983,83.0,76.0,52.0,,,,,60.0,,,,,,Eastern & Southern Africa
1982,64.0,74.0,50.0,,,,,50.0,,,,,,Eastern & Southern Africa
1981,74.0,78.0,55.0,,,,,51.0,,,,,,Eastern & Southern Africa
1980,72.0,81.0,59.0,,,,,46.0,,,,,,Eastern & Southern Africa
