Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,95.0,95.0,,95.0,95.0,85.0,74.0,89.0,85.0,,Latin America & Caribbean
2017,90.0,90.0,90.0,,90.0,89.0,92.0,77.0,89.0,92.0,,Latin America & Caribbean
2016,99.0,97.0,97.0,,97.0,99.0,92.0,87.0,96.0,92.0,,Latin America & Caribbean
2015,99.0,97.0,97.0,,97.0,,96.0,89.0,97.0,96.0,,Latin America & Caribbean
2014,98.0,94.0,94.0,,94.0,,95.0,91.0,90.0,95.0,,Latin America & Caribbean
2013,97.0,91.0,91.0,,91.0,,87.0,89.0,87.0,87.0,,Latin America & Caribbean
2012,96.0,87.0,87.0,,87.0,,90.0,90.0,84.0,90.0,,Latin America & Caribbean
2011,95.0,91.0,91.0,,91.0,,93.0,94.0,81.0,93.0,,Latin America & Caribbean
2010,94.0,86.0,86.0,,86.0,,85.0,96.0,78.0,85.0,,Latin America & Caribbean
2009,93.0,93.0,93.0,,93.0,,94.0,97.0,75.0,94.0,,Latin America & Caribbean
2008,85.0,85.0,85.0,,85.0,,94.0,97.0,,94.0,,Latin America & Caribbean
2007,93.0,93.0,93.0,,93.0,,75.0,96.0,,75.0,,Latin America & Caribbean
2006,94.0,84.0,84.0,,84.0,,92.0,94.0,,92.0,,Latin America & Caribbean
2005,97.0,92.0,92.0,,92.0,,93.0,98.0,,93.0,,Latin America & Caribbean
2004,97.0,93.0,93.0,,93.0,,98.0,99.0,,98.0,,Latin America & Caribbean
2003,91.0,89.0,91.0,,88.0,,90.0,71.0,,90.0,,Latin America & Caribbean
2002,92.0,87.0,66.0,,66.0,,91.0,41.0,,91.0,,Latin America & Caribbean
2001,92.0,84.0,18.0,,18.0,,93.0,12.0,,93.0,,Latin America & Caribbean
2000,93.0,93.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1999,95.0,87.0,,,,,86.0,,,86.0,,Latin America & Caribbean
1998,96.0,93.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1997,98.0,96.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1996,95.0,85.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1995,97.0,93.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1994,96.0,90.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1993,95.0,86.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1992,96.0,90.0,,,,,90.0,,,90.0,,Latin America & Caribbean
1991,94.0,82.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1990,97.0,91.0,,,,,87.0,,,87.0,,Latin America & Caribbean
1989,92.0,78.0,,,,,85.0,,,85.0,,Latin America & Caribbean
1988,91.0,76.0,,,,,84.0,,,84.0,,Latin America & Caribbean
1987,92.0,79.0,,,,,85.0,,,85.0,,Latin America & Caribbean
1986,92.0,79.0,,,,,84.0,,,84.0,,Latin America & Caribbean
1985,94.0,83.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1984,94.0,83.0,,,,,84.0,,,84.0,,Latin America & Caribbean
1983,87.0,69.0,,,,,55.0,,,55.0,,Latin America & Caribbean
1982,83.0,62.0,,,,,53.0,,,53.0,,Latin America & Caribbean
1981,80.0,58.0,,,,,47.0,,,,,Latin America & Caribbean
1980,82.0,60.0,,,,,41.0,,,,,Latin America & Caribbean
