Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,99.0,97.0,98.0,82.0,98.0,99.0,96.0,96.0,,96.0,,Latin America & Caribbean
2017,97.0,99.0,97.0,98.0,83.0,98.0,90.0,93.0,95.0,,93.0,,Latin America & Caribbean
2016,96.0,99.0,97.0,98.0,90.0,98.0,93.0,94.0,96.0,,94.0,,Latin America & Caribbean
2015,95.0,96.0,93.0,94.0,18.0,94.0,,95.0,90.0,,95.0,,Latin America & Caribbean
2014,99.0,99.0,97.0,98.0,,98.0,,93.0,90.0,,93.0,,Latin America & Caribbean
2013,94.0,99.0,96.0,97.0,,97.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2012,95.0,99.0,97.0,98.0,,98.0,,95.0,90.0,,95.0,,Latin America & Caribbean
2011,99.0,99.0,97.0,98.0,,98.0,,99.0,99.0,,99.0,,Latin America & Caribbean
2010,91.0,98.0,95.0,96.0,,96.0,,99.0,99.0,,99.0,,Latin America & Caribbean
2009,93.0,99.0,97.0,97.0,,97.0,,99.0,99.0,,99.0,,Latin America & Caribbean
2008,95.0,99.0,98.0,98.0,,97.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2007,97.0,99.0,99.0,99.0,,99.0,,99.0,95.0,,99.0,,Latin America & Caribbean
2006,99.0,99.0,99.0,99.0,,99.0,,99.0,96.0,,99.0,,Latin America & Caribbean
2005,99.0,99.0,99.0,99.0,,99.0,,99.0,97.0,,99.0,,Latin America & Caribbean
2004,89.0,98.0,95.0,96.0,,95.0,,98.0,98.0,,98.0,,Latin America & Caribbean
2003,99.0,98.0,98.0,99.0,,99.0,,98.0,98.0,,98.0,,Latin America & Caribbean
2002,99.0,99.0,96.0,96.0,,95.0,,99.0,99.0,,99.0,,Latin America & Caribbean
2001,95.0,99.0,99.0,99.0,,99.0,,90.0,99.0,,90.0,,Latin America & Caribbean
2000,99.0,99.0,98.0,99.0,,12.0,,99.0,99.0,,99.0,,Latin America & Caribbean
1999,99.0,99.0,98.0,99.0,,,,99.0,,,99.0,,Latin America & Caribbean
1998,99.0,99.0,97.0,99.0,,,,99.0,,,99.0,,Latin America & Caribbean
1997,99.0,99.0,99.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1996,96.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1995,94.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1994,91.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1993,88.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1992,86.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1991,83.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1990,80.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1989,78.0,99.0,99.0,,,,,90.0,,,90.0,,Latin America & Caribbean
1988,75.0,97.0,94.0,,,,,77.0,,,77.0,,Latin America & Caribbean
1987,,98.0,96.0,,,,,91.0,,,91.0,,Latin America & Caribbean
1986,,99.0,99.0,,,,,96.0,,,,,Latin America & Caribbean
1985,,97.0,92.0,,,,,91.0,,,,,Latin America & Caribbean
1984,,98.0,97.0,,,,,85.0,,,,,Latin America & Caribbean
1983,,96.0,90.0,,,,,,,,,,Latin America & Caribbean
1982,,97.0,92.0,,,,,,,,,,Latin America & Caribbean
1981,,86.0,67.0,,,,,,,,,,Latin America & Caribbean
1980,,79.0,56.0,,,,,,,,,,Latin America & Caribbean
