Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,95.0,95.0,95.0,79.0,95.0,93.0,98.0,39.0,,98.0,,79.0,Latin America & Caribbean
2017,90.0,81.0,81.0,80.0,81.0,88.0,97.0,41.0,,97.0,,85.0,Latin America & Caribbean
2016,92.0,91.0,91.0,80.0,91.0,96.0,97.0,43.0,,97.0,,79.0,Latin America & Caribbean
2015,90.0,89.0,89.0,65.0,89.0,12.0,94.0,28.0,,94.0,,86.0,Latin America & Caribbean
2014,91.0,85.0,85.0,64.0,85.0,,85.0,18.0,,85.0,,79.0,Latin America & Caribbean
2013,91.0,86.0,86.0,45.0,86.0,,93.0,18.0,,93.0,,76.0,Latin America & Caribbean
2012,94.0,84.0,84.0,51.0,84.0,,73.0,,,73.0,,73.0,Latin America & Caribbean
2011,90.0,86.0,86.0,46.0,86.0,,85.0,,,85.0,,10.0,Latin America & Caribbean
2010,99.0,96.0,86.0,41.0,86.0,,90.0,,,90.0,,11.0,Latin America & Caribbean
2009,91.0,87.0,87.0,36.0,87.0,,88.0,,,88.0,,11.0,Latin America & Caribbean
2008,95.0,85.0,84.0,69.0,84.0,,86.0,,,86.0,,11.0,Latin America & Caribbean
2007,96.0,84.0,84.0,67.0,84.0,,85.0,,,85.0,,12.0,Latin America & Caribbean
2006,94.0,84.0,84.0,64.0,84.0,,83.0,,,83.0,,14.0,Latin America & Caribbean
2005,93.0,83.0,83.0,,83.0,,91.0,,,91.0,,18.0,Latin America & Caribbean
2004,92.0,85.0,,,,,86.0,,,86.0,,,Latin America & Caribbean
2003,81.0,75.0,,,,,69.0,,,69.0,,,Latin America & Caribbean
2002,86.0,73.0,,,,,73.0,,,73.0,,,Latin America & Caribbean
2001,90.0,68.0,,,,,82.0,,,82.0,,,Latin America & Caribbean
2000,90.0,71.0,,,,,84.0,,,84.0,,,Latin America & Caribbean
1999,90.0,85.0,,,,,85.0,,,85.0,,,Latin America & Caribbean
1998,93.0,90.0,,,,,82.0,,,82.0,,,Latin America & Caribbean
1997,95.0,81.0,,,,,79.0,,,79.0,,,Latin America & Caribbean
1996,93.0,85.0,,,,,87.0,,,87.0,,,Latin America & Caribbean
1995,94.0,84.0,,,,,85.0,,,85.0,,,Latin America & Caribbean
1994,90.0,74.0,,,,,72.0,,,72.0,,,Latin America & Caribbean
1993,91.0,76.0,,,,,61.0,,,61.0,,,Latin America & Caribbean
1992,90.0,74.0,,,,,61.0,,,,,,Latin America & Caribbean
1991,91.0,75.0,,,,,84.0,,,,,,Latin America & Caribbean
1990,94.0,83.0,,,,,65.0,,,,,,Latin America & Caribbean
1989,89.0,72.0,,,,,73.0,,,,,,Latin America & Caribbean
1988,84.0,64.0,,,,,83.0,,,,,,Latin America & Caribbean
1987,88.0,71.0,,,,,70.0,,,,,,Latin America & Caribbean
1986,93.0,80.0,,,,,78.0,,,,,,Latin America & Caribbean
1985,94.0,84.0,,,,,73.0,,,,,,Latin America & Caribbean
1984,93.0,80.0,,,,,75.0,,,,,,Latin America & Caribbean
1983,95.0,85.0,,,,,71.0,,,,,,Latin America & Caribbean
1982,82.0,61.0,,,,,17.0,,,,,,Latin America & Caribbean
1981,52.0,27.0,,,,,39.0,,,,,,Latin America & Caribbean
1980,50.0,25.0,,,,,,,,,,,Latin America & Caribbean
