Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,68.0,Western Europe
2017,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,68.0,Western Europe
2016,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,68.0,Western Europe
2015,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,68.0,Western Europe
2014,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,67.0,Western Europe
2013,98.0,93.0,87.0,,92.0,97.0,93.0,84.0,97.0,,Western Europe
2012,99.0,95.0,87.0,,93.0,97.0,93.0,84.0,97.0,,Western Europe
2011,99.0,95.0,87.0,,93.0,97.0,93.0,86.0,97.0,,Western Europe
2010,99.0,96.0,88.0,,93.0,97.0,93.0,85.0,97.0,,Western Europe
2009,99.0,96.0,88.0,,94.0,97.0,93.0,84.0,97.0,,Western Europe
2008,99.0,96.0,87.0,,94.0,97.0,92.0,68.0,97.0,,Western Europe
2007,99.0,96.0,86.0,,94.0,97.0,92.0,,97.0,,Western Europe
2006,99.0,96.0,87.0,,93.0,96.0,90.0,,96.0,,Western Europe
2005,98.0,96.0,90.0,,94.0,96.0,91.0,,96.0,,Western Europe
2004,98.0,96.0,88.0,,94.0,96.0,89.0,,96.0,,Western Europe
2003,97.0,97.0,90.0,,93.0,95.0,83.0,,95.0,,Western Europe
2002,97.0,93.0,87.0,,94.0,94.0,77.0,,94.0,,Western Europe
2001,97.0,93.0,86.0,,94.0,94.0,,,94.0,,Western Europe
2000,96.0,90.0,84.0,,94.0,92.0,,,92.0,,Western Europe
1999,99.0,97.0,81.0,,92.0,92.0,,,92.0,,Western Europe
1998,95.0,89.0,81.0,,90.0,92.0,,,92.0,,Western Europe
1997,95.0,87.0,71.0,,88.0,91.0,,,91.0,,Western Europe
1996,94.0,84.0,57.0,,88.0,91.0,,,91.0,,Western Europe
1995,92.0,78.0,45.0,,85.0,92.0,,,92.0,,Western Europe
1994,90.0,73.0,32.0,,82.0,90.0,,,90.0,,Western Europe
1993,83.0,62.0,15.0,,80.0,89.0,,,89.0,,Western Europe
1992,95.0,85.0,,,74.0,75.0,,,75.0,,Western Europe
1991,93.0,80.0,,,60.0,75.0,,,75.0,,Western Europe
1990,93.0,80.0,,,,75.0,,,,,Western Europe
1989,93.0,80.0,,,,75.0,,,,,Western Europe
1988,93.0,80.0,,,,75.0,,,,,Western Europe
1987,93.0,80.0,,,,75.0,,,,,Western Europe
1986,96.0,90.0,,,,70.0,,,,,Western Europe
1985,93.0,80.0,,,,50.0,,,,,Western Europe
1984,97.0,94.0,,,,48.0,,,,,Western Europe
1983,97.0,93.0,,,,47.0,,,,,Western Europe
1982,98.0,97.0,,,,50.0,,,,,Western Europe
1981,98.0,95.0,,,,50.0,,,,,Western Europe
1980,,,,,,25.0,,,,,Western Europe
